,position_detail_symbol,position_detail_report_date,position_detail_position_symbol,position_detail_name,position_detail_value,position_detail_amount,position_detail_value_percent,position_detail_net_value_percent,position_detail_stat_date,position_detail_type,position_detail_investment_type
129,260108.OF,2008-08-26,000882.SZ,华联股份,64761294.0,8034900.0,0.017098,1.13,2008-06-30,股票,0.0
130,260108.OF,2008-08-26,000758.SZ,中色股份,45071967.96,3228651.0,0.0119,0.78,2008-06-30,股票,0.0
131,260108.OF,2008-08-26,000157.SZ,中联重科,138500000.0,10000000.0,0.036566,2.41,2008-06-30,股票,0.0
132,260108.OF,2008-08-26,000001.SZ,平安银行,135310000.0,7000000.0,0.035724,2.35,2008-06-30,股票,0.0
133,260108.OF,2008-08-26,601808.SH,中海油服,28209916.17,1205037.0,0.007448,0.49,2008-06-30,股票,0.0
134,260108.OF,2008-08-26,600900.SH,长江电力,153903831.65,10505381.0,0.040633,2.67,2008-06-30,股票,0.0
135,260108.OF,2008-08-26,600230.SH,沧州大化,9995000.0,500000.0,0.002639,0.17,2008-06-30,股票,0.0
136,260108.OF,2008-08-26,600202.SH,哈空调,6454500.0,650000.0,0.001704,0.11,2008-06-30,股票,0.0
137,260108.OF,2008-08-26,600118.SH,中国卫星,68816663.37,4113369.0,0.018169,1.2,2008-06-30,股票,0.0
138,260108.OF,2008-08-26,000968.SZ,蓝焰控股,345144000.0,14600000.0,0.091124,6.0,2008-06-30,股票,0.0
139,260108.OF,2008-08-26,000839.SZ,中信国安,91490000.0,7000000.0,0.024155,1.59,2008-06-30,股票,0.0
140,260108.OF,2008-08-26,000755.SZ,山西路桥,26218555.2,2504160.0,0.006922,0.46,2008-06-30,股票,0.0
141,260108.OF,2008-08-26,000568.SZ,泸州老窖,57766571.37,1919793.0,0.015251,1.0,2008-06-30,股票,0.0
142,260108.OF,2008-08-26,000522.SZ,白云山A,77354118.84,8652586.0,0.020423,1.34,2008-06-30,股票,0.0
143,260108.OF,2009-03-26,601006.SH,大秦铁路,96240000.0,12000000.0,0.032491,2.27,2008-12-31,股票,0.0
144,260108.OF,2009-03-26,600900.SH,长江电力,77214550.35,10505381.0,0.026068,1.82,2008-12-31,股票,0.0
145,260108.OF,2009-03-26,600616.SH,金枫酒业,22967553.6,2150520.0,0.007754,0.54,2008-12-31,股票,0.0
146,260108.OF,2009-03-26,600583.SH,海油工程,247561944.24,16254888.0,0.083577,5.85,2008-12-31,股票,0.0
147,260108.OF,2009-03-26,600519.SH,贵州茅台,336970000.0,3100000.0,0.113761,7.96,2008-12-31,股票,0.0
148,260108.OF,2009-03-26,600195.SH,中牧股份,30663894.24,2607474.0,0.010352,0.72,2008-12-31,股票,0.0
149,260108.OF,2009-03-26,600161.SH,天坛生物,38142457.32,2626891.0,0.012877,0.9,2008-12-31,股票,0.0
150,260108.OF,2009-03-26,600050.SH,中国联通,61366000.0,12200000.0,0.020717,1.45,2008-12-31,股票,0.0
151,260108.OF,2009-03-26,002257.SZ,立立电子,577965.0,26500.0,0.000195,0.01,2008-12-31,股票,0.0
152,260108.OF,2009-03-26,002032.SZ,苏泊尔,37222227.28,3031126.0,0.012566,0.88,2008-12-31,股票,0.0
153,260108.OF,2009-03-26,000882.SZ,华联股份,34791117.0,8034900.0,0.011745,0.82,2008-12-31,股票,0.0
154,260108.OF,2009-03-26,000157.SZ,中联重科,112969428.0,10104600.0,0.038139,2.67,2008-12-31,股票,0.0
155,260108.OF,2009-03-26,000024.SZ,招商地产,26301992.0,2004725.0,0.00888,0.62,2008-12-31,股票,0.0
156,260108.OF,2009-03-26,000002.SZ,万科A,61456619.1,9528158.0,0.020748,1.45,2008-12-31,股票,0.0
157,260108.OF,2009-03-26,601766.SH,中国中车,172761436.6,40083860.0,0.058324,4.08,2008-12-31,股票,0.0
158,260108.OF,2009-03-26,601390.SH,中国中铁,146781567.4,27081470.0,0.049553,3.47,2008-12-31,股票,0.0
