,股票代码,股票名称,当前价格,万元收益
325,600977,中国电影,11.97,-317.3767752715121
326,600996,贵广网络,5.19,115.99229287090557
327,600998,九州通,17.69,782.871678914641
328,601229,上海银行,8.26,1284.866828087167
329,601997,贵阳银行,7.83,1746.4878671775223
330,603060,国检集团,21.03,143.31906799809795
331,603098,森特股份,7.96,365.57788944723615
332,603160,汇顶科技,156.47,153.62050233271555
333,603165,荣晟环保,12.48,549.6794871794872
334,603228,景旺电子,29.49,274.19464225161073
335,603298,杭叉集团,19.54,405.98771750255884
336,603444,吉比特,305.6,453.67473821989523
337,603515,欧普照明,30.3,221.51815181518154
338,603556,海兴电力,13.06,605.666156202144
339,603569,长久物流,7.08,208.75706214689265
340,603585,苏利股份,15.33,602.1526418786693
341,603639,海利尔,19.7,711.7766497461929
342,603658,安图生物,151.65,79.62413452027694
343,603816,顾家家居,75.59,221.33880142876043
344,603858,步长制药,22.04,554.5825771324863
345,603877,太平鸟,33.51,190.95792300805732
346,603888,新华网,20.9,4.066985645933015
347,603929,亚翔集成,10.86,-47.974217311233886
348,603959,百利科技,11.35,91.62995594713657
349,600136,当代文体,5.49,-4472.131147540984
350,600160,巨化股份,7.62,19.553805774278214
351,600256,广汇能源,2.68,325.3731343283582
352,600282,南钢股份,3.06,1259.4771241830067
353,600376,首开股份,5.92,1437.668918918919
354,600622,光大嘉宝,3.24,695.0617283950618
355,600681,百川能源,5.25,549.5238095238095
356,600702,ST舍得,74.81,129.86231787194225
357,600728,佳都科技,7.42,37.870619946091644
358,600777,新潮能源,1.41,95.74468085106383
359,601138,工业富联,15.18,291.7654808959157
360,601619,嘉泽新能,3.12,298.07692307692304
361,601801,皖新传媒,4.73,717.1247357293868
362,600072,中船科技,13.27,6.330067822155237
363,600230,沧州大化,8.21,-544.2143727161997
364,600258,首旅酒店,20.11,-294.5300845350572
365,600325,华发股份,6.14,1938.7622149837134
366,600338,西藏珠峰,9.2,86.63043478260869
367,600346,恒力石化,34.98,402.54431103487707
368,600598,北大荒,18.17,318.43698403962577
369,600693,东百集团,4.29,397.6689976689977
370,600779,水井坊,84.67,121.31805834415965
371,600971,恒源煤电,5.65,607.433628318584
372,601117,中国化学,6.37,877.8649921507065
373,601128,常熟银行,7.21,762.4133148404992
374,601200,上海环境,10.88,520.6801470588235
375,601225,陕西煤业,10.62,1377.8719397363468
376,601858,中国科传,9.73,324.76875642343265
377,601878,浙商证券,13.91,204.38533429187635
378,603113,金能科技,15.44,613.860103626943
379,603225,新凤鸣,17.0,109.41176470588235
380,603233,大参林,88.67,151.33641592421338
381,603305,旭升股份,32.13,160.75319016495484
382,603387,基蛋生物,32.5,262.24615384615385
383,603421,鼎信通讯,8.39,207.5089392133492
384,603517,绝味食品,88.6,95.80135440180588
385,603579,荣泰健康,28.19,381.411848173111
386,603603,博天环境,4.38,-436.986301369863
387,603626,科森科技,11.35,124.31718061674009
388,603728,鸣志电器,16.1,212.79503105590064
389,603730,岱美股份,29.07,232.88613691090472
390,603799,华友钴业,82.15,71.64942178940962
391,603803,瑞斯康达,9.24,144.04761904761904
392,603833,欧派家居,124.84,194.7933354694008
393,603881,数据港,60.8,77.25328947368422
394,601330,绿色动力,8.22,463.99026763990264
395,601068,中铝国际,3.39,-84.95575221238937
396,601990,南京证券,11.69,186.82634730538925
397,603039,泛微网络,94.86,38.973223698081384
398,603043,广州酒家,38.96,228.69609856262835
399,603259,药明康德,138.4,70.628612716763
400,603283,赛腾股份,34.6,253.64161849710982
401,603367,辰欣药业,13.07,547.283856159143
402,603466,风语筑,21.51,438.21478382147836
403,603486,科沃斯,114.78,38.9092176337341
404,603587,地素时尚,18.01,547.52915047196
405,603596,伯特利,36.04,230.41065482796893
406,603650,彤程新材,31.12,188.56041131105397
407,603666,亿嘉和,90.35,131.13447703375763
408,603680,今创集团,10.91,316.0403299725023
409,603713,密尔克卫,120.56,113.01426675514267
410,603733,仙鹤股份,24.15,291.0144927536232
411,603773,沃格光电,26.3,59.88593155893536
412,603801,志邦家居,34.85,254.0602582496413
413,603871,嘉友国际,19.65,657.5063613231554
414,603882,金域医学,139.47,171.6283071628307
415,603897,长城科技,16.36,430.5623471882641
416,603986,兆易创新,213.24,66.90114425060965
417,601916,浙商银行,4.08,1192.6470588235295
418,603806,福斯特,84.5,134.03550295857988
419,601069,西部黄金,12.91,39.27188226181255
420,600310,桂东电力,3.86,374.35233160621755
421,600260,凯乐科技,10.01,595.3046953046953
422,603997,继峰股份,7.42,-474.39353099730454
423,603939,益丰药房,98.97,126.31100333434375
424,600763,通策医疗,294.47,46.88423268923829
425,600879,航天电子,7.57,176.0898282694848
426,600606,绿地控股,5.78,2373.8754325259515
427,600418,江淮汽车,10.03,123.52941176470588
428,600297,广汇汽车,2.7,702.5925925925926
429,600466,蓝光发展,4.54,2079.295154185022
430,600373,中文传媒,9.91,956.6094853683147
431,603866,桃李面包,56.86,177.3830460780865
432,600061,国投资本,13.75,684.3636363636363
433,601155,新城控股,35.93,691.2607848594489
434,603008,喜临门,16.95,306.4306784660767
435,600803,新奥股份,14.1,1494.7517730496454
436,600053,九鼎投资,18.75,158.34666666666666
437,603108,润达医疗,12.07,505.7995028997515
438,603737,三棵树,153.79,88.893946290396
439,603339,四方科技,10.12,308.102766798419
440,603588,高能环境,13.12,432.62195121951225
441,600105,永鼎股份,3.22,-364.5962732919254
442,600531,豫光金铅,5.02,442.6294820717132
443,603868,飞科电器,47.66,226.60511959714648
444,603198,迎驾贡酒,32.57,204.72827755603316
445,600093,易见股份,8.15,272.63803680981596
446,600975,新五丰,8.27,437.48488512696497
447,600809,山西汾酒,361.04,78.68657212497229
448,603989,艾华集团,25.32,268.52290679304895
449,600477,杭萧钢构,3.79,821.3720316622691
450,600299,安迪苏,11.26,394.8490230905861
451,600986,浙文互联,4.37,189.01601830663617
452,601828,美凯龙,9.25,511.6756756756757
453,601005,重庆钢铁,1.43,290.20979020979024
454,601298,青岛港,6.37,825.4317111459969
455,601865,福莱特,36.72,113.099128540305
456,600871,石化油服,1.99,61.30653266331659
457,600008,首创股份,2.88,493.4027777777778
458,600057,厦门象屿,5.57,1082.9443447037702
459,600150,中国船舶,18.23,-13.658804168952276
460,600155,华创阳安,11.88,222.47474747474746
461,600177,雅戈尔,7.41,1620.242914979757
